product_id,Overall Rating,Description Word Count
7330262,5,132
SKU: #7706555,5,132
SKU: #7423619,5,132
7166071,5,132
7749227,5,132
SKU: #7676758,5,132
SKU: #7676758,5,132
SKU: #7676758,5,132
SKU: #7752985,5,132
SKU: #7676758,5,132
SKU: #7676758,5,132
SKU: #7752985,5,132
7656060,5,132
7507121,5,132
7313845,5,132
7507121,5,132
109117,5,132
109117,5,132
109117,5,132
109117,5,132
7443522,4,132
7202262,4,132
7730968,4,132
7730968,4,132
7166071,4,132
113595,4,132
7490059,2,132
7294254,2,132
7631594,1,132
7280540,5,131
7626619,5,131
7542747,5,131
7192722,5,131
7520870,5,131
7620366,5,131
7553765,5,131
SKU: #7302728,5,131
7583016,5,131
7583016,5,131
7166071,5,131
7656060,5,131
7656060,5,131
7755792,5,131
7270779,5,131
SKU: #7407626,5,131
7507121,5,131
7630065,5,131
SKU: #7549521,5,131
SKU: #7549521,5,131
SKU: #7549521,5,131
SKU: #7549521,5,131
SKU: #7434310,5,131
7277727,5,131
7720004,5,131
7542747,4,131
7202262,4,131
7334545,4,131
SKU: #7541738,4,131
7644648,4,131
SKU: #7646638,4,131
7294835,4,131
SKU: #7727593,3,131
7490059,3,131
7762946,3,131
7626180,3,131
7744270,3,131
SKU: #7793107,3,131
7626619,5,130
104730,5,130
SKU: #7553765,5,130
7202262,5,130
SKU: #7797583,5,130
7423619,5,130
7302728,5,130
7416799,5,130
7628901,5,130
7334545,5,130
7626180,5,130
SKU: #7218836,5,130
7644648,5,130
7656060,5,130
7616338,5,130
7600107,5,130
7294254,5,130
7568158,5,130
7609984,5,130
SKU: #7850078,4,130
SKU: #7615067,4,130
7335596,4,130
SKU: #7756271,4,130
7899457,4,130
7609984,4,130
104730,3,130
SKU: #7763762,3,130
7535068,3,130
7460247,3,130
SKU: #7638334,3,130
7542747,1,130
SKU: #7594364,1,130
SKU: #7818639,5,129
SKU: #7715573,5,129
SKU: #7715573,5,129
7626619,5,129
7704053,5,129
7626619,5,129
SKU: #7727594,5,129
SKU: #7715573,5,129
SKU: #7715573,5,129
SKU: #7416799,5,129
7302728,5,129
7589954,5,129
7166071,5,129
7373683,5,129
7599376,5,129
SKU: #7762076,5,129
7567392,5,129
7277727,5,129
7718603,5,129
7244112,5,129
7642029,4,129
7183714,4,129
7684817,4,129
SKU: #7388112,4,129
7460247,4,129
7600107,4,129
7244112,4,129
7542747,3,129
SKU: #7762903,3,129
SKU: #7376689,3,129
SKU: #101191,2,129
SKU: #7660073,2,129
SKU: #7542607,5,128
SKU: #7542607,5,128
7542747,5,128
7542747,5,128
7192722,5,128
7330262,5,128
SKU: #7695089,5,128
